destination,destination_type,from_location,state,region,trip_type,transport,season,num_days,budget,accommodation_cost,food_cost,entry_fee,travel_time,rating,total_cost,feasible
Valley of Flowers,Nature,Ahmedabad,Uttarakhand,North,Couple,Train,Monsoon,9,65017,3060,850,150,12.0,4.8,35340,1
Patan,Heritage,Jaipur,Gujarat,West,Couple,Bike,Summer,4,7913,2210,595,50,6.0,4.4,11270,0
Unakoti,Heritage,Lucknow,Tripura,Northeast,Friends,Flight,Spring,6,26944,2400,700,50,23.0,4.4,18650,1
Jim Corbett,Wildlife,Jaipur,Uttarakhand,North,Family,Train,Monsoon,4,64618,8750,2000,500,5.0,4.6,43500,1
Arambol,Beach,Kolkata,Goa,West,Family,Bus,Summer,8,33144,5000,1500,0,5.0,4.3,52000,0
Arambol,Beach,Pune,Goa,West,Couple,Flight,Autumn,9,74495,3400,1020,0,5.0,4.3,39780,1
Raghurajpur,Heritage,Mumbai,Odisha,East,Senior,Train,Autumn,5,13173,1560,455,0,8.0,4.4,10075,1
Jaisalmer,Desert,Hyderabad,Rajasthan,North,Friends,Car,Spring,7,72602,4000,1100,250,9.0,4.6,35950,1
Akshardham Temple Delhi,Spiritual,Pune,Delhi,North,Couple,Bus,Spring,2,5306,3400,1020,0,5.0,4.6,8840,0
Kasol,Nature,Mumbai,Himachal Pradesh,North,Friends,Flight,Monsoon,2,10573,3000,1000,0,13.0,4.4,8000,1
Ramappa Temple,Heritage,Jaipur,Telangana,South,Family,Flight,Monsoon,10,27746,3500,1000,200,4.0,4.5,45200,0
Yuksom,Adventure,Kolkata,Sikkim,Northeast,Couple,Bus,Autumn,10,57517,2720,765,0,13.0,4.4,34850,1
Moirang,Heritage,Kolkata,Manipur,Northeast,Family,Bike,Spring,4,18754,3250,1000,50,21.0,4.1,17050,1
Kesaria,Heritage,Jaipur,Bihar,East,Solo,Car,Spring,2,4738,1000,300,50,11.0,4.1,2650,1
Saranda Forest,Wildlife,Mumbai,Jharkhand,East,Friends,Car,Spring,9,60394,2800,800,100,8.0,4.2,32500,1
Bekal,Heritage,Lucknow,Kerala,South,Couple,Bike,Summer,7,32590,3400,935,50,8.0,4.3,30395,1
Mon Nagaland,Heritage,Pune,Nagaland,Northeast,Solo,Flight,Summer,6,4055,1400,400,0,24.0,4.4,10800,0
Baratang Island,Nature,Ahmedabad,Andaman & Nicobar,South,Friends,Train,Winter,7,71513,4000,1200,0,14.0,4.4,36400,1
Kamalasagar,Spiritual,Chennai,Tripura,Northeast,Solo,Flight,Summer,5,7240,1200,350,0,22.0,4.1,7750,0
Jolly Buoy Island,Beach,Kolkata,Andaman & Nicobar,South,Couple,Flight,Monsoon,9,21904,2550,510,500,14.0,4.3,28040,0
Mathura Vrindavan,Spiritual,Mumbai,Uttar Pradesh,North,Solo,Bus,Winter,10,13907,1200,400,0,4.0,4.3,16000,0
Sri Aurobindo Ashram,Spiritual,Pune,Puducherry,South,Friends,Bike,Winter,6,19562,4000,1200,0,3.0,4.6,31200,0
Puri,Spiritual,Kolkata,Odisha,East,Senior,Bike,Monsoon,6,14231,1950,585,0,9.0,4.4,15210,0
Jallandhar Beach,Beach,Lucknow,Daman & Diu,West,Solo,Car,Autumn,8,27789,2000,550,0,5.0,4.2,20400,1
Lunglei,Heritage,Lucknow,Mizoram,Northeast,Couple,Bus,Monsoon,9,37800,2210,680,0,25.0,4.0,26010,1
Orchha,Heritage,Pune,Madhya Pradesh,Central,Senior,Flight,Spring,2,4145,1950,624,250,9.0,4.4,5398,0
Mandu,Heritage,Pune,Madhya Pradesh,Central,Friends,Bus,Summer,5,30630,2800,800,100,9.0,4.4,18100,1
Cotigao Wildlife Sanctuary,Wildlife,Mumbai,Goa,West,Friends,Train,Autumn,5,16355,4000,1200,200,5.0,4.2,26200,0
Orchha,Heritage,Hyderabad,Madhya Pradesh,Central,Family,Flight,Monsoon,6,17753,3750,1200,250,9.0,4.4,29950,0
Yercaud,Hill Station,Bangalore,Tamil Nadu,South,Couple,Train,Autumn,3,5658,2720,816,50,7.0,4.1,10658,0
Pondicherry,Heritage,Pune,Puducherry,South,Solo,Car,Spring,8,29949,2000,600,0,6.0,4.3,20800,1
Minicoy Island,Beach,Chennai,Lakshadweep,South,Couple,Flight,Autumn,9,47414,5950,1360,0,20.0,4.5,65790,0
Dumboor Lake,Nature,Bangalore,Tripura,Northeast,Friends,Car,Spring,8,55742,2600,800,0,23.0,4.3,27200,1
Panipat,Heritage,Pune,Haryana,North,Friends,Car,Autumn,8,38870,2600,800,50,2.0,4.0,27250,1
Kullu,Adventure,Chennai,Himachal Pradesh,North,Senior,Train,Winter,7,38361,2600,715,0,12.0,4.3,23205,1
Sambalpur,Heritage,Kolkata,Odisha,East,Family,Train,Winter,2,17886,3750,1125,50,9.0,4.2,9800,1
Silvassa,Nature,Jaipur,Dadra & Nagar Haveli,West,Family,Train,Summer,3,7486,4500,1250,0,4.0,4.0,17250,0
Digha,Beach,Kolkata,West Bengal,East,Family,Car,Monsoon,8,59425,4500,1250,0,4.0,3.8,46000,1
Hornbill Festival Kisama,Heritage,Jaipur,Nagaland,Northeast,Family,Bus,Winter,7,42946,3750,1125,200,22.0,4.7,34325,1
Imphal,Heritage,Bangalore,Manipur,Northeast,Senior,Bus,Monsoon,4,15363,1950,585,100,18.0,4.2,10240,1
Minicoy Island,Beach,Kolkata,Lakshadweep,South,Solo,Flight,Autumn,5,33425,3500,800,0,20.0,4.5,21500,1
Neermahal,Heritage,Chennai,Tripura,Northeast,Friends,Car,Autumn,10,45534,2600,800,100,23.0,4.5,34100,1
Devka Beach Daman,Beach,Ahmedabad,Daman & Diu,West,Family,Bike,Winter,6,23968,4500,1250,0,4.0,4.1,34500,0
Horsley Hills,Hill Station,Delhi,Andhra Pradesh,South,Couple,Bike,Winter,7,23800,2550,680,50,7.0,4.1,22660,1
Dongargarh,Spiritual,Hyderabad,Chhattisgarh,Central,Couple,Bike,Winter,6,9275,2040,595,0,7.0,4.2,15810,0
Gokarna,Beach,Lucknow,Karnataka,South,Family,Bike,Winter,5,35806,3750,1125,0,7.0,4.4,24375,1
Bitra Island,Nature,Kolkata,Lakshadweep,South,Solo,Bike,Autumn,7,5157,1500,500,0,20.0,4.2,14000,0
Reiek,Nature,Delhi,Mizoram,Northeast,Family,Bike,Spring,3,10663,3250,1000,50,24.0,4.2,12800,0
Tamenglong,Nature,Ahmedabad,Manipur,Northeast,Family,Flight,Autumn,10,25140,3250,1000,0,23.0,4.2,42500,0
Statue of Unity,Heritage,Mumbai,Gujarat,West,Solo,Flight,Monsoon,7,34992,2500,600,350,7.0,4.4,22050,1
Kapurthala,Heritage,Lucknow,Haryana,North,Senior,Car,Summer,6,14747,1690,520,50,3.0,4.1,13310,1
Pushkar,Spiritual,Kolkata,Rajasthan,North,Senior,Bus,Spring,3,6677,1950,585,0,7.0,4.4,7605,0
Pahalgam,Hill Station,Delhi,Jammu & Kashmir,North,Senior,Car,Monsoon,10,23103,3250,845,0,13.0,4.5,40950,0
Sepahijala Wildlife Sanctuary,Wildlife,Mumbai,Tripura,Northeast,Solo,Flight,Autumn,3,4474,1300,400,100,22.0,4.2,5200,0
Kapurthala,Heritage,Delhi,Haryana,North,Senior,Train,Autumn,5,15208,1690,520,50,3.0,4.1,11100,1
Tura,Nature,Jaipur,Meghalaya,Northeast,Friends,Train,Autumn,6,35580,2800,800,0,18.0,4.1,21600,1
Mawlynnong,Nature,Bangalore,Meghalaya,Northeast,Couple,Bike,Summer,5,7728,2380,680,0,17.0,4.5,15300,0
Madhuban Dam,Nature,Lucknow,Dadra & Nagar Haveli,West,Friends,Car,Winter,5,15040,3000,900,0,4.0,4.0,19500,0
Kapurthala,Heritage,Chennai,Haryana,North,Couple,Car,Autumn,2,11557,2210,680,50,3.0,4.1,5830,1
Ghoghla Beach,Beach,Bangalore,Daman & Diu,West,Friends,Bus,Spring,7,37498,4000,1100,0,5.0,4.2,35700,1
Vagator,Beach,Delhi,Goa,West,Solo,Train,Monsoon,9,20520,2500,700,0,4.0,4.0,28800,0
Fatehgarh Sahib,Spiritual,Jaipur,Punjab,North,Solo,Bike,Autumn,9,5396,1200,350,0,4.0,4.3,13950,0
Jamshedpur,City,Jaipur,Jharkhand,East,Friends,Car,Winter,3,10753,3000,900,0,7.0,4.0,11700,0
Damanganga River,Nature,Mumbai,Daman & Diu,West,Couple,Bike,Spring,4,6303,3060,850,0,4.0,4.0,15640,0
Khammam,Nature,Kolkata,Telangana,South,Friends,Bus,Autumn,5,15375,2800,800,50,4.0,4.0,18050,0
Shimla,Hill Station,Kolkata,Himachal Pradesh,North,Family,Flight,Spring,10,45012,5500,1450,50,10.0,4.4,69550,0
India Gate,Heritage,Lucknow,Delhi,North,Family,Flight,Winter,8,48746,5000,1500,0,5.0,4.5,52000,0
Gwalior,Heritage,Jaipur,Madhya Pradesh,Central,Family,Bike,Winter,9,33186,4000,1125,250,8.0,4.3,46375,0
India Gate,Heritage,Lucknow,Delhi,North,Couple,Bike,Spring,9,30080,3400,1020,0,5.0,4.5,39780,0
Akshardham Temple Delhi,Spiritual,Pune,Delhi,North,Friends,Flight,Autumn,9,19266,4000,1200,0,5.0,4.6,46800,0
Shanti Stupa Leh,Spiritual,Ahmedabad,Ladakh,North,Couple,Bike,Autumn,7,29466,3060,850,0,23.0,4.6,27370,1
Prayagraj,Spiritual,Kolkata,Uttar Pradesh,North,Couple,Train,Autumn,6,40633,2720,765,0,7.0,4.4,20910,1
Bandhavgarh,Wildlife,Kolkata,Madhya Pradesh,Central,Friends,Train,Spring,4,26059,7000,1600,600,11.0,4.7,35000,0
Kullu,Adventure,Jaipur,Himachal Pradesh,North,Senior,Bike,Summer,6,32921,2600,715,0,12.0,4.3,19890,1
Palamu Fort,Heritage,Lucknow,Jharkhand,East,Friends,Bike,Autumn,4,6872,2600,800,50,6.0,4.1,13650,0
Pangong Lake,Nature,Delhi,Ladakh,North,Couple,Car,Monsoon,4,15063,4250,1020,0,24.0,4.8,21080,0
Kullu,Adventure,Hyderabad,Himachal Pradesh,North,Family,Car,Summer,2,7174,5000,1375,0,12.0,4.3,12750,0
Khajjiar,Nature,Ahmedabad,Himachal Pradesh,North,Solo,Train,Summer,7,10731,1600,450,0,12.0,4.4,14350,0
Mon Nagaland,Heritage,Chennai,Nagaland,Northeast,Friends,Bus,Monsoon,8,12796,2800,800,0,24.0,4.4,28800,0
Zuluk,Adventure,Chennai,Sikkim,Northeast,Senior,Train,Spring,2,9270,2080,585,0,13.0,4.5,5330,1
Chandni Chowk,Heritage,Bangalore,Delhi,North,Friends,Car,Monsoon,6,42016,4000,1200,0,5.0,4.3,31200,1
Shillong,Hill Station,Ahmedabad,Meghalaya,Northeast,Solo,Train,Winter,8,29687,1800,500,0,16.0,4.4,18400,1
Manali,Hill Station,Delhi,Himachal Pradesh,North,Family,Car,Autumn,2,24219,5000,1500,100,14.0,4.6,13100,1
Mechuka,Nature,Pune,Arunachal Pradesh,Northeast,Couple,Bike,Summer,2,14296,2720,765,0,26.0,4.6,6970,1
Loktak Lake,Nature,Mumbai,Manipur,Northeast,Couple,Bike,Spring,6,32287,2380,680,100,21.0,4.4,18460,1
Udaipur,Heritage,Mumbai,Rajasthan,North,Couple,Train,Monsoon,6,20276,3740,1020,250,8.0,4.6,28810,0
Kalpeni Island,Beach,Mumbai,Lakshadweep,South,Family,Flight,Summer,7,139600,8750,2000,0,20.0,4.5,75250,1
India Gate,Heritage,Pune,Delhi,North,Senior,Car,Summer,9,42354,2600,780,0,5.0,4.5,30420,1
Kabini,Wildlife,Delhi,Karnataka,South,Senior,Bike,Summer,6,66736,5200,1170,500,5.0,4.7,38720,1
Dandeli,Adventure,Hyderabad,Karnataka,South,Family,Train,Winter,6,43998,5000,1375,200,8.0,4.4,38450,1
Chitrakoot,Spiritual,Kolkata,Uttar Pradesh,North,Friends,Bus,Monsoon,8,54324,2600,800,0,8.0,4.3,27200,1
Minicoy Island,Beach,Pune,Lakshadweep,South,Solo,Car,Autumn,10,31630,3500,800,0,20.0,4.5,43000,0
INS Khukri Memorial,Heritage,Delhi,Daman & Diu,West,Friends,Flight,Summer,6,34446,4000,1100,0,5.0,4.2,30600,1
Sepahijala Wildlife Sanctuary,Wildlife,Delhi,Tripura,Northeast,Friends,Car,Summer,9,36589,2600,800,100,22.0,4.2,30700,1
Khajuraho,Heritage,Ahmedabad,Madhya Pradesh,Central,Family,Train,Spring,3,33638,4500,1250,500,10.0,4.6,17750,1
Nagarjunasagar Telangana,Nature,Ahmedabad,Telangana,South,Family,Car,Spring,8,56941,4000,1125,100,4.0,4.2,41100,1
Kapurthala,Heritage,Ahmedabad,Punjab,North,Senior,Flight,Monsoon,7,24393,1690,520,50,7.0,4.1,15520,1
Dachigam National Park,Wildlife,Mumbai,Jammu & Kashmir,North,Couple,Flight,Autumn,8,88112,4250,1105,200,12.0,4.4,43040,1
Fatehgarh Sahib,Spiritual,Jaipur,Punjab,North,Solo,Bike,Spring,6,6091,1200,350,0,4.0,4.3,9300,0
Mainpat,Hill Station,Hyderabad,Chhattisgarh,Central,Family,Flight,Monsoon,5,12477,3250,875,0,10.0,4.1,20625,0
Kalpeni Island,Beach,Bangalore,Lakshadweep,South,Solo,Car,Spring,2,14546,3500,800,0,20.0,4.5,8600,1
Darjeeling,Hill Station,Jaipur,West Bengal,East,Solo,Car,Monsoon,4,4082,2000,550,100,12.0,4.4,10300,0
Purana Qila,Heritage,Ahmedabad,Delhi,North,Friends,Bus,Summer,2,15823,4000,1200,200,5.0,4.3,10600,1
St Paul's Church Diu,Heritage,Bangalore,Daman & Diu,West,Couple,Train,Summer,7,40681,3400,935,0,5.0,4.3,30345,1
Pilak,Heritage,Jaipur,Tripura,Northeast,Solo,Train,Spring,5,13810,1200,350,50,24.0,4.2,7800,1
Champhai,Nature,Chennai,Mizoram,Northeast,Friends,Train,Winter,3,14895,2600,800,0,25.0,4.3,10200,1
Bodh Gaya,Spiritual,Pune,Bihar,East,Family,Train,Spring,8,50245,3000,1000,0,10.0,4.6,32000,1
Saputara,Hill Station,Kolkata,Gujarat,West,Solo,Car,Summer,6,6709,1500,450,50,6.0,4.2,11750,0
Kaluk,Hill Station,Delhi,Sikkim,Northeast,Friends,Bus,Autumn,2,4660,3000,900,0,13.0,4.3,7800,0
Cuttack,Heritage,Kolkata,Odisha,East,Solo,Bike,Winter,9,27129,1600,450,50,8.0,4.1,18500,1
Humayun's Tomb,Heritage,Delhi,Delhi,North,Solo,Bike,Spring,10,13740,2000,600,600,5.0,4.5,26600,0
Lonavala,Hill Station,Ahmedabad,Maharashtra,West,Solo,Car,Monsoon,4,13175,2000,600,0,3.0,4.2,10400,1
Dudhni Lake,Nature,Kolkata,Dadra & Nagar Haveli,West,Couple,Train,Summer,8,22855,3060,850,0,4.0,4.3,31280,0
Varanasi,Spiritual,Delhi,Uttar Pradesh,North,Friends,Bus,Monsoon,8,41746,3000,800,0,8.0,4.3,30400,1
Mount Abu,Hill Station,Jaipur,Rajasthan,North,Senior,Bus,Autumn,3,5111,2340,676,50,8.0,4.2,9098,0
Saputara,Hill Station,Mumbai,Gujarat,West,Friends,Train,Monsoon,4,13597,3000,900,50,6.0,4.1,15650,0
Bangaram Island,Beach,Ahmedabad,Lakshadweep,South,Couple,Car,Monsoon,8,131964,10200,2040,0,20.0,4.5,97920,1
Dimapur,Heritage,Bangalore,Nagaland,Northeast,Family,Bus,Winter,2,19638,3750,1125,50,21.0,4.0,9800,1
Pushkar,Spiritual,Chennai,Rajasthan,North,Couple,Bus,Spring,6,38728,2550,765,0,7.0,4.4,19890,1
Agumbe,Nature,Delhi,Karnataka,South,Family,Car,Monsoon,4,11161,3500,1000,0,6.0,4.4,18000,0
Neil Island,Beach,Bangalore,Andaman & Nicobar,South,Senior,Bus,Autumn,10,90515,3250,910,0,14.0,4.6,41600,1
Neil Island,Beach,Delhi,Andaman & Nicobar,South,Family,Flight,Monsoon,3,34669,6250,1750,0,14.0,4.3,24000,1
Bekal,Heritage,Hyderabad,Kerala,South,Family,Bike,Spring,5,17609,5000,1375,50,8.0,4.3,31925,0
Gulmarg,Adventure,Chennai,Jammu & Kashmir,North,Family,Car,Monsoon,7,131984,8750,2000,500,14.0,4.7,75750,1
Gwalior,Heritage,Bangalore,Madhya Pradesh,Central,Couple,Bike,Spring,8,36297,2720,765,250,8.0,4.3,28130,1
Jim Corbett,Wildlife,Chennai,Uttarakhand,North,Family,Car,Autumn,4,54182,8750,2000,500,5.0,4.6,43500,1
Ariyankuppam Mangroves,Nature,Pune,Puducherry,South,Friends,Car,Summer,4,24234,3600,1100,50,3.0,4.2,18850,1
Kullu,Adventure,Delhi,Himachal Pradesh,North,Friends,Bus,Winter,8,56983,4000,1100,0,12.0,4.3,40800,1
Kullu,Adventure,Delhi,Himachal Pradesh,North,Senior,Bike,Autumn,2,2321,2600,715,0,12.0,4.3,6630,0
Damanganga River,Nature,Kolkata,Daman & Diu,West,Friends,Bus,Spring,8,25432,3600,1000,0,4.0,4.0,36800,0
Cooch Behar,Heritage,Delhi,West Bengal,East,Couple,Bike,Autumn,8,16392,2380,680,50,7.0,4.2,24530,0
Konark,Heritage,Hyderabad,Odisha,East,Couple,Bus,Autumn,9,11054,2040,680,500,10.0,4.6,24980,0
Dandeli,Adventure,Lucknow,Karnataka,South,Family,Train,Winter,5,16386,5000,1375,200,8.0,4.4,32075,0
Nalanda,Heritage,Ahmedabad,Bihar,East,Couple,Bus,Winter,5,18473,1700,595,100,11.0,4.4,11575,1
Visakhapatnam,Beach,Jaipur,Andhra Pradesh,South,Senior,Car,Spring,4,17941,2340,650,0,8.0,4.3,11960,1
Arambol,Beach,Delhi,Goa,West,Couple,Train,Spring,7,41573,3400,1020,0,5.0,4.3,30940,1
Andaman Islands,Island,Hyderabad,Andaman & Nicobar,East,Family,Train,Monsoon,5,47615,10000,2250,500,3.0,4.7,61750,0
Lakshadweep,Island,Jaipur,Lakshadweep,South,Solo,Flight,Autumn,2,9815,5000,1000,500,2.0,4.8,12500,0
Nainital,Hill Station,Kolkata,Uttarakhand,North,Couple,Bike,Spring,10,21724,3400,986,50,8.0,4.4,43910,0
Humayun's Tomb,Heritage,Hyderabad,Delhi,North,Couple,Train,Monsoon,4,16127,3400,1020,600,5.0,4.5,18280,0
Nagarjunasagar Telangana,Nature,Jaipur,Telangana,South,Solo,Train,Spring,2,2913,1600,450,100,4.0,4.2,4200,0
Gir National Park,Wildlife,Jaipur,Gujarat,West,Friends,Bus,Autumn,6,48058,5000,1200,600,7.0,4.6,37800,1
Tam Dil Lake,Nature,Pune,Mizoram,Northeast,Family,Bike,Autumn,6,53183,3250,1000,50,25.0,4.2,25550,1
Guwahati,City,Bangalore,Assam,Northeast,Friends,Bike,Monsoon,3,8961,3600,1000,0,14.0,4.1,13800,0
Unakoti,Heritage,Delhi,Tripura,Northeast,Couple,Flight,Summer,8,26990,2040,595,50,23.0,4.4,21130,1
Morni Hills Chandigarh,Hill Station,Pune,Chandigarh,North,Solo,Car,Autumn,3,4686,1600,450,0,5.0,4.2,6150,0
Zunheboto,Nature,Ahmedabad,Nagaland,Northeast,Family,Car,Winter,10,81480,3250,1000,0,23.0,4.1,42500,1
Goa,Beach,Kolkata,Goa,South,Solo,Car,Winter,6,14764,2500,800,0,5.0,4.5,19800,0
Jammu,Spiritual,Ahmedabad,Jammu & Kashmir,North,Family,Bus,Spring,5,48317,4500,1250,0,11.0,4.2,28750,1
Ajmer,Spiritual,Ahmedabad,Rajasthan,North,Senior,Train,Monsoon,9,28634,2080,585,0,6.0,4.4,23985,1
Somnath,Spiritual,Ahmedabad,Gujarat,West,Family,Bike,Spring,5,14151,3750,1000,0,6.0,4.6,23750,0
Humayun's Tomb,Heritage,Mumbai,Delhi,North,Friends,Train,Monsoon,8,51426,4000,1200,600,5.0,4.5,42200,1
Purana Qila,Heritage,Lucknow,Delhi,North,Couple,Flight,Autumn,9,47610,3400,1020,200,5.0,4.3,39980,1
Amaravati,Heritage,Pune,Andhra Pradesh,South,Solo,Train,Autumn,8,31322,1400,400,100,5.0,4.2,14500,1
Sonamarg,Nature,Kolkata,Jammu & Kashmir,North,Senior,Bike,Spring,10,75702,3250,845,0,13.0,4.6,40950,1
Hirwa Van Garden,Nature,Lucknow,Dadra & Nagar Haveli,West,Senior,Flight,Spring,3,12789,1950,585,30,4.0,4.0,7635,1
Raghurajpur,Heritage,Ahmedabad,Odisha,East,Friends,Train,Summer,5,11178,2400,700,0,8.0,4.4,15500,0
Magnetic Hill Leh,Nature,Ahmedabad,Ladakh,North,Senior,Flight,Autumn,6,26809,2340,650,0,23.0,4.3,17940,1
Horsley Hills,Hill Station,Pune,Andhra Pradesh,South,Couple,Flight,Monsoon,7,13444,2550,680,50,7.0,4.1,22660,0
Mumbai,City,Mumbai,Maharashtra,West,Solo,Bus,Summer,5,37291,3500,900,0,5.0,4.3,22000,1
Mahabaleshwar,Hill Station,Pune,Maharashtra,West,Senior,Flight,Summer,8,16403,2860,780,0,4.0,4.4,29120,0
Pasighat,Adventure,Chennai,Arunachal Pradesh,Northeast,Solo,Train,Summer,4,15659,1500,450,0,20.0,4.3,7800,1
Bhubaneswar,Heritage,Mumbai,Odisha,East,Family,Bike,Spring,5,15978,4000,1200,200,9.0,4.2,26200,0
Spiti Valley,Adventure,Pune,Himachal Pradesh,North,Senior,Flight,Monsoon,6,7448,2340,650,100,18.0,4.7,18040,0
Mysuru,Heritage,Hyderabad,Karnataka,South,Solo,Flight,Autumn,3,11267,2000,550,150,5.0,4.4,7800,1
Jagdalpur,Heritage,Mumbai,Chhattisgarh,Central,Senior,Car,Monsoon,7,11322,1300,455,80,13.0,4.1,12365,0
Palamu Fort,Heritage,Hyderabad,Jharkhand,East,Solo,Bus,Summer,2,3679,1300,400,50,6.0,4.1,3450,1
Cherrapunjee,Nature,Pune,Meghalaya,Northeast,Family,Bike,Monsoon,5,20856,4000,1200,50,17.0,4.6,26050,0
Tso Moriri,Nature,Pune,Ladakh,North,Couple,Car,Summer,5,24034,3400,935,0,24.0,4.7,21675,1
Ahmedabad,Heritage,Kolkata,Gujarat,West,Friends,Flight,Monsoon,8,13687,3600,1100,100,7.0,4.3,37700,0
Lucknow,Heritage,Kolkata,Uttar Pradesh,North,Solo,Train,Monsoon,2,2706,1800,550,100,6.0,4.3,4800,0
Hisar,Heritage,Lucknow,Haryana,North,Senior,Bike,Autumn,3,12612,1690,520,50,3.0,3.9,6680,1
Zuluk,Adventure,Delhi,Sikkim,Northeast,Couple,Train,Monsoon,9,13034,2720,765,0,13.0,4.5,31365,0
Ukhrul,Hill Station,Jaipur,Manipur,Northeast,Senior,Car,Winter,8,11767,1690,520,0,22.0,4.2,17680,0
Auroville,Spiritual,Hyderabad,Puducherry,South,Senior,Bus,Summer,4,36443,3250,910,0,3.0,4.5,16640,1
Mahabaleshwar,Hill Station,Ahmedabad,Maharashtra,West,Senior,Bike,Winter,4,9149,2860,780,0,4.0,4.3,14560,0
Lotus Temple,Spiritual,Mumbai,Delhi,North,Friends,Bike,Monsoon,8,75913,4000,1200,0,5.0,4.5,41600,1
Manas National Park,Wildlife,Hyderabad,Assam,Northeast,Senior,Flight,Winter,8,14204,3250,780,400,17.0,4.5,32640,0
Mokokchung,Heritage,Jaipur,Nagaland,Northeast,Couple,Bus,Winter,5,12632,2380,680,0,22.0,4.2,15300,0
Murshidabad,Heritage,Lucknow,West Bengal,East,Friends,Train,Autumn,6,43935,3000,900,200,5.0,4.4,23600,1
Kesaria,Heritage,Hyderabad,Bihar,East,Friends,Train,Winter,5,11634,2000,600,50,11.0,4.1,13050,0
Khammam,Nature,Lucknow,Telangana,South,Family,Train,Winter,8,60256,3500,1000,50,4.0,4.0,36050,1
Cuttack,Heritage,Chennai,Odisha,East,Couple,Bike,Summer,2,11842,2720,765,50,8.0,4.1,7020,1
Qutub Minar,Heritage,Pune,Delhi,North,Couple,Train,Monsoon,9,76377,4250,1190,600,5.0,4.6,49560,1
Unakoti,Heritage,Jaipur,Tripura,Northeast,Family,Car,Summer,9,18232,3000,875,50,23.0,4.4,34925,0
Pulicat Lake,Nature,Delhi,Andhra Pradesh,South,Family,Bike,Autumn,5,27735,3000,875,0,5.0,4.0,19375,1
Dibrugarh,Heritage,Pune,Assam,Northeast,Senior,Bus,Autumn,6,13329,1950,585,0,17.0,4.0,15210,0
Itanagar,Heritage,Delhi,Arunachal Pradesh,Northeast,Couple,Bus,Summer,4,27358,2720,765,50,18.0,4.0,13990,1
Ross Island,Heritage,Lucknow,Andaman & Nicobar,South,Friends,Train,Winter,6,72712,5000,1400,150,14.0,4.3,38550,1
Patiala,Heritage,Chennai,Punjab,North,Solo,Bus,Summer,5,15103,1500,450,50,4.0,4.2,9800,1
Minicoy Island,Beach,Lucknow,Lakshadweep,South,Family,Car,Monsoon,4,65689,8750,2000,0,20.0,4.2,43000,1
Sohna,Nature,Delhi,Haryana,North,Solo,Bike,Monsoon,8,8394,1400,400,50,2.0,4.0,14450,0
Minicoy Island,Beach,Ahmedabad,Lakshadweep,South,Couple,Train,Winter,8,110281,5950,1360,0,20.0,4.5,58480,1
Shanti Stupa Leh,Spiritual,Delhi,Ladakh,North,Solo,Bus,Spring,4,14454,1800,500,0,23.0,4.6,9200,1
Tuensang,Heritage,Ahmedabad,Nagaland,Northeast,Family,Bus,Summer,2,10033,3250,1000,0,24.0,4.1,8500,1
Hirwa Van Garden,Nature,Chennai,Dadra & Nagar Haveli,West,Solo,Train,Winter,6,5622,1500,450,30,4.0,4.0,11730,0
Darjeeling,Hill Station,Delhi,West Bengal,East,Senior,Train,Summer,3,6292,2600,715,100,12.0,4.5,10045,0
Hauz Khas,Heritage,Delhi,Delhi,North,Friends,Car,Spring,6,29834,5000,1400,0,5.0,4.3,38400,0
Ukhrul,Hill Station,Chennai,Manipur,Northeast,Friends,Train,Autumn,8,47548,2600,800,0,22.0,4.2,27200,1
Lachung,Nature,Mumbai,Sikkim,Northeast,Family,Bus,Summer,9,32913,5000,1375,200,18.0,4.6,57575,0
Dudhsagar Falls,Nature,Pune,Goa,West,Solo,Car,Autumn,6,4638,1500,500,400,5.0,4.7,12400,0
Sultanpur Bird Sanctuary,Wildlife,Mumbai,Haryana,North,Family,Train,Winter,7,19813,3750,1000,50,2.0,4.2,33300,0
Majuli,Nature,Kolkata,Assam,Northeast,Senior,Bus,Summer,8,24810,1560,520,0,16.0,4.3,16640,1
Barnawapara,Wildlife,Mumbai,Chhattisgarh,Central,Couple,Train,Spring,3,16557,2380,680,200,9.0,4.2,9380,1
Namdapha,Wildlife,Bangalore,Arunachal Pradesh,Northeast,Friends,Train,Winter,3,14726,3200,900,200,24.0,4.5,12500,1
Ghoghla Beach,Beach,Ahmedabad,Daman & Diu,West,Friends,Bike,Monsoon,2,4825,4000,1100,0,5.0,3.9,10200,0
Sonamarg,Nature,Kolkata,Jammu & Kashmir,North,Couple,Flight,Autumn,7,69534,4250,1105,0,13.0,4.6,37485,1
Bekal,Heritage,Hyderabad,Kerala,South,Friends,Train,Winter,3,7141,4000,1100,50,8.0,4.3,15350,0
Cooch Behar,Heritage,Kolkata,West Bengal,East,Senior,Car,Autumn,9,36862,1820,520,50,7.0,4.2,21110,1
Shanti Stupa Leh,Spiritual,Hyderabad,Ladakh,North,Friends,Train,Monsoon,4,27065,3600,1000,0,23.0,4.6,18400,1
Ariyankuppam Mangroves,Nature,Jaipur,Puducherry,South,Friends,Bus,Spring,7,26595,3600,1100,50,3.0,4.2,32950,0
Chopta,Adventure,Pune,Uttarakhand,North,Family,Flight,Monsoon,9,90317,3750,1125,0,8.0,4.5,43875,1
